"","Year","Commodity","Afghanistan","Albania","Algeria","Andorra","Angola","Anguilla","Antigua and Barbuda","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia","Bosnia and Herzegovina","Botswana","Brazil","British Indian Ocean Territories","British Virgin Islands","Brunei","Bulgaria","Burkina Faso","Burma","Burundi","Cabo Verde","Cambodia","Cameroon","Canada","Cayman Islands","Central African Republic","Chad","Chile","China","Christmas Island","Cocos (Keeling) Islands","Colombia","Comoros","Congo (Brazzaville)","Congo (Kinshasa)","Cook Islands","Costa Rica","Cote d'Ivoire","Croatia","Cuba","Curacao","Cyprus","Czech Republic","Denmark","Djibouti","Dominica","Dominican Republic","Ecuador","Egypt","El Salvador","Equatorial Guinea","Eritrea","Estonia","Ethiopia","Falkland Islands (Islas Malvinas)","Faroe Islands","Fiji","Finland","France","French Guiana","French Polynesia","French Southern and Antarctic Lands","Gabon","Gambia","Gaza Strip Administered by Israel","Georgia","Germany","Ghana","Gibraltar","Greece","Greenland","Grenada","Guadeloupe","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Heard and McDonald Islands","Honduras","Hong Kong","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea, North","Korea, South","Kosovo","Kuwait","Kyrgyzstan","Laos","Latvia","Lebanon","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Luxembourg","Macau","Macedonia","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Martinique","Mauritania","Mauritius","Mayotte","Mexico","Micronesia","Moldova","Monaco","Mongolia","Montenegro","Montserrat","Morocco","Mozambique","Namibia","Nauru","Nepal","Netherlands","Netherlands Antilles","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","Niue","Norfolk Island","Norway","Oman","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Pitcairn Islands","Poland","Portugal","Qatar","Reunion","Romania","Russia","Rwanda","Samoa","San Marino","Sao Tome and Principe","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Sint Maarten","Slovakia","Slovenia","Solomon Islands","Somalia","South Africa","South Sudan","Spain","Sri Lanka","St Helena","St Kitts and Nevis","St Lucia","St Pierre and Miquelon","St Vincent and the Grenadines","Sudan","Suriname","Svalbard, Jan Mayen Island","Swaziland","Sweden","Switzerland","Syria","Taiwan","Tajikistan","Tanzania","Thailand","Timor-Leste","Togo","Tokelau","Tonga","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","Turks and Caicos Islands","Tuvalu","Uganda","Ukraine","Unidentified Countries","United Arab Emirates","United Kingdom","Uruguay","Uzbekistan","Vanuatu","Vatican City","Venezuela","Vietnam","Wallis and Futuna","West Bank Administered by Israel","Western Sahara","WorldTotal","Yemen","Zambia","Zimbabwe"
"23",1996,"Cotton",0,0,0,0,0,0,0,91259312,0,0,19769119,0,0,0,0,0,4533,0,0,0,0,0,0,0,0,0,8624,0,0,0,0,3873112,0,0,0,0,1535969,1516302,0,0,0,0,34745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6353617,1406,0,0,0,0,0,0,0,2926,640,0,0,0,0,0,0,0,3256,0,0,2187538,0,0,0,0,0,0,0,0,0,0,94423,0,0,320540,0,0,0,0,585,61665,0,42811,0,0,0,0,0,468568,0,0,0,0,22499,0,0,0,0,0,0,0,0,0,0,0,0,0,976331,0,0,0,0,0,0,35439312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11949597,0,0,0,219818,0,0,0,0,0,0,0,0,3120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177213,0,0,0,0,0,0,0,0,0,0,0,2090,74167,0,3470262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2968911,0,140648990,0,0,0,0,0,0,0,323492001,0,0,0
"24",1997,"Cotton",0,0,0,0,0,0,34647,540912,0,0,0,0,0,0,0,0,0,0,1017,0,0,0,0,0,0,0,1234,0,0,0,0,0,0,0,0,0,3015,1399454,0,0,0,0,525894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3477,0,0,0,0,0,0,0,837,0,0,0,0,0,0,0,0,0,0,0,0,0,34114,0,0,203569,0,0,0,0,0,113252,121670,325883,0,0,0,0,0,182168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20437920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61964,0,0,0,0,0,0,0,0,0,0,0,0,183622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107489,0,0,0,0,0,0,0,0,0,0,0,9860,0,5676,293942,0,0,0,0,0,0,0,0,20686,725930,0,0,0,0,0,0,3204247,0,1313875,0,0,0,0,0,0,0,29856354,0,0,0
"25",1998,"Cotton",0,0,0,0,0,0,98155,3749478,0,0,144236,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300712,0,0,0,0,0,0,0,0,0,0,1276681,0,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6056,0,7166144,310,0,0,0,0,0,0,0,0,2880,0,0,0,0,0,0,0,1449,0,0,2952024,0,0,0,0,0,0,0,0,0,0,1791,0,0,287575,0,0,0,0,22178,9326,0,93649,0,0,0,0,0,50388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5972268,0,0,0,0,0,0,0,0,0,0,0,1230,0,0,0,0,0,0,0,0,0,0,46531,0,0,0,0,8659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81786,27404,0,0,0,0,0,0,0,0,0,0,7154,145550,18542,0,0,1486,0,0,0,0,0,0,807972,0,0,0,0,0,0,0,3725430,0,1759658,0,0,9880,0,0,0,0,28777859,0,0,0
"26",1999,"Cotton",0,0,0,0,0,0,107186,7385416,0,0,253468,1752,0,0,0,0,17556,0,0,0,5665818,0,0,0,0,0,1068532,0,0,0,0,2606391,0,0,0,0,0,1468985,0,0,0,0,32220068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3510,0,0,50544,0,6769598,0,0,0,0,0,0,0,0,0,502345,0,0,0,0,0,0,0,1912,0,0,69232197,0,0,0,0,235588,0,0,0,0,0,0,0,0,72487,0,0,0,290,0,172034,0,188029,0,0,42826,0,0,13446,0,0,0,0,83903,0,0,0,0,0,0,0,0,0,0,0,0,0,1835850,0,0,0,0,0,0,11041032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20147,0,0,0,0,86471,0,0,0,0,16567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57325,0,0,0,0,0,0,0,0,0,0,331,0,19326504,43897,0,0,0,0,0,281384,0,0,0,4137034,118266,0,0,0,0,0,0,596271,77413,3098408,0,0,0,0,0,0,0,168900781,0,0,0
"27",2000,"Cotton",0,0,0,0,0,0,0,601350,0,0,39215,1127,0,0,0,0,29020,0,1428,0,0,0,0,0,0,0,1534879,0,0,0,0,0,0,0,0,0,0,1219703,0,0,0,0,28179,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,16400,0,19556285,1006,0,0,0,0,0,0,0,0,806382,0,0,0,0,0,0,0,61916,0,0,232905,0,0,0,0,0,0,0,0,0,0,20126,0,0,345361,0,0,0,1928,146263,883357,0,75027,0,0,0,0,0,0,0,0,0,0,72311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6269536,0,0,0,0,0,0,0,0,0,0,0,181120,0,0,0,0,0,0,0,0,0,0,133892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8194,0,0,0,0,0,0,0,0,0,0,0,719,3476506,30446,0,23102,0,0,0,0,0,0,0,2491417,0,0,0,0,0,0,0,241067,0,827613,0,0,0,0,0,0,0,39358085,0,0,0
"28",2001,"Cotton",0,0,0,0,0,0,0,467946,0,0,64463,0,0,0,0,0,0,0,27806,0,0,0,0,0,0,0,7170893,0,0,0,0,0,0,0,0,0,0,591066,0,0,0,0,112395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15675,0,3757470,0,0,0,0,0,0,0,0,0,560607,0,0,0,0,0,0,0,38496,0,0,457409,0,0,0,3348,0,0,0,0,0,0,0,0,0,213000,0,0,0,0,144702,729139,0,45334,0,0,0,0,0,61722,0,0,0,0,3238051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4491959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221,0,0,0,0,0,0,0,0,0,0,547,0,5328563,26207,0,0,0,0,0,0,0,0,0,6943985,0,0,0,0,0,0,0,28235,0,0,0,0,0,0,0,0,0,34520239,0,0,0
"29",2002,"Cotton",0,0,0,0,0,0,0,31307,0,0,1328283,1130,0,0,0,0,0,0,34469,0,0,0,0,0,0,0,3255408,0,0,0,346,0,0,0,0,0,0,157570,0,0,0,0,57896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23482,0,19399018,12154,0,0,0,0,0,0,0,0,1325172,0,0,0,0,0,0,0,1341,0,0,206967,0,0,0,0,0,0,0,0,0,0,9140,0,0,44057,24401,0,0,609,139834,420303,0,949,0,0,0,0,0,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,4336057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0,217391,0,0,0,0,0,0,0,0,0,0,0,0,1436585,9951,0,0,0,0,0,32527,0,0,0,382872,0,0,0,0,0,0,0,11254,0,0,0,0,0,0,0,0,0,33393382,0,0,0
"30",2003,"Cotton",0,0,0,0,0,0,0,139636,0,0,1401659,322,0,0,0,0,0,0,2324,0,0,0,0,0,0,0,200904,0,0,0,0,0,0,0,0,0,0,172919,0,0,0,0,137666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28416,0,25193146,0,0,0,0,0,0,0,0,0,1509927,0,0,0,0,0,0,0,399604,0,0,0,0,0,0,0,0,0,0,0,0,0,3921,0,0,97123,38579,0,0,881,26169,21170,0,6246,0,0,0,0,0,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3178353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772137,0,0,0,0,0,0,0,0,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838841,0,0,0,0,0,0,0,0,0,0,0,1797,1477397,30278,0,0,0,0,2845,0,0,0,0,383368,257993,0,0,0,0,0,0,5965,0,0,0,0,0,320,0,0,0,36331419,0,0,0
"31",2004,"Cotton",0,0,0,0,0,0,0,484802,0,0,494365,0,0,0,0,0,0,0,19312,0,73626,0,0,10954,0,0,219878,0,0,0,0,0,0,0,0,0,0,98372,0,0,0,0,24281,0,0,400682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15961,0,16083824,26598,0,0,4282,0,0,0,0,0,993079,0,0,0,0,0,0,0,6907,0,0,0,0,0,0,15195,0,0,0,0,0,40513,118342,0,0,2000941,301692,0,0,0,113777,11554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5875227,0,0,0,0,0,0,0,0,0,0,0,1682,0,0,0,0,0,0,0,0,0,0,3359276,0,0,0,0,50632,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,100340,0,0,0,0,0,0,0,0,0,0,0,56705,2418449,40476,0,0,100914,0,0,55308,0,0,0,2121982,0,0,0,0,0,0,0,4865,0,0,0,0,0,0,0,0,0,35746231,0,0,0
"32",2005,"Cotton",0,0,0,0,0,0,0,314645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700766,0,0,0,0,0,0,0,0,0,26163,86875,0,0,0,0,18160,0,0,30338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25915,0,12967969,0,0,0,0,0,0,0,0,0,689113,0,0,0,0,0,0,0,41427,0,0,0,0,0,0,181215,0,0,0,0,0,175377,17175,0,0,113132,56765,0,0,0,1147466,31245,0,976,0,0,0,0,0,6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1243,0,378,0,0,0,0,0,0,4506394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2997641,0,0,0,0,30156,0,0,0,20150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1388,0,0,0,0,0,0,0,0,0,0,42411,0,4482475,233856,0,7513,0,0,0,0,0,0,0,1787983,0,0,0,0,0,0,0,9596,0,0,0,0,0,0,0,0,0,31822278,0,0,70305
"33",2006,"Cotton",0,0,0,0,0,0,0,512560,0,0,9851,1398,0,0,0,13182,0,0,535,0,0,0,0,0,0,0,62750,0,0,0,0,0,0,0,0,0,0,375396,0,0,0,0,175436,0,0,158643,0,0,0,0,90049,0,0,0,0,0,0,0,0,0,7696,0,12313522,37821,0,0,0,0,0,0,0,0,50391,0,0,0,0,0,0,0,83616,0,0,0,0,0,0,200886,0,0,0,0,0,11353,0,0,0,97457,27635,0,0,0,29967,87715,0,66991,0,0,0,0,0,3723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,3454972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3815943,0,0,0,0,15033,0,0,0,13154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2034,0,7431,4233,0,0,0,0,0,0,0,0,0,46811,0,1560960,0,0,0,26621,0,0,0,0,0,0,2089679,0,0,0,0,0,0,0,54238,0,0,0,0,0,0,0,0,0,25510683,0,0,0
"34",2007,"Cotton",0,0,0,0,0,0,0,165587,0,0,0,561,0,0,0,16408,0,0,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523199,0,0,0,0,169456,0,0,107000,0,0,0,0,20528,0,0,0,0,0,0,0,0,0,50034,0,3697002,31443,0,0,0,0,0,0,0,0,62965,0,0,0,0,0,0,0,5214,0,0,0,0,0,0,131980,0,0,0,0,0,156380,36371,0,0,406209,318618,0,0,0,0,643314,0,14121,0,0,0,0,0,7231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4040896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3026938,0,0,0,0,16034,36569,0,0,2103,0,0,0,0,0,0,0,0,0,0,0,0,0,1818,0,0,0,0,0,0,0,1161431,4989,0,0,0,0,0,0,0,0,0,1168,28090,6453587,0,0,0,0,0,0,0,0,0,0,15960460,0,0,0,56192,0,0,0,418963,0,0,0,0,0,0,0,0,0,37773715,0,0,0
"35",2008,"Cotton",0,0,0,0,0,0,28607,125490,0,0,0,0,0,0,0,57430,0,0,4950,0,0,0,0,0,0,0,5097,0,0,0,0,0,0,0,0,0,0,417989,0,0,0,0,140788,0,0,897412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70612,0,7109,121975,0,0,0,0,0,0,0,0,2232,0,0,0,0,0,0,0,84583,0,0,0,0,0,0,97775,0,0,0,0,0,44717,82949,0,0,1429548,3071906,0,0,0,0,1180685,0,5748,0,0,0,0,0,29256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6033587,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,4930980,0,0,0,0,0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360397,79519,0,0,0,0,0,0,0,0,0,0,3661,3683007,2860,0,0,297329,0,0,0,0,0,0,14162927,0,0,0,0,0,0,0,298923,0,56489,0,0,0,0,0,0,0,38817887,0,0,0
"36",2009,"Cotton",0,0,0,0,0,0,0,1069579,0,0,0,0,0,0,0,163378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266674,0,0,0,0,131707,0,0,99560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195891,0,0,136608,0,0,0,0,0,0,0,69899,151227,0,0,0,0,0,0,0,73002,0,0,0,0,0,0,0,0,0,0,0,0,2516,31818,0,0,355189,1513884,0,0,0,0,179082,0,4413,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,36071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3937773,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,771042,0,0,0,0,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320090,0,0,0,0,0,0,0,0,0,0,30528,522721,0,1631,0,0,0,0,0,0,0,0,0,4998807,0,0,0,0,0,0,0,3358,0,0,0,0,0,0,0,0,0,16071588,0,0,0
"37",2010,"Cotton",0,0,0,0,0,0,0,1579774,0,0,52231,0,0,0,0,151283,0,0,9294,0,0,0,0,0,0,0,4802091,0,0,0,0,0,0,0,0,0,0,254602,0,0,0,0,386959,0,0,326116,0,0,0,0,1678,0,0,0,0,0,0,0,0,0,174751,0,1342893,627458,0,0,0,0,0,0,0,0,265230,0,0,0,0,0,0,0,54240,0,0,0,0,0,0,0,0,0,0,1428,0,18142,0,0,0,380980,3112535,0,0,0,317413,210416,0,66214,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4769811,0,0,0,0,0,0,0,0,0,0,0,1409,0,0,0,0,0,0,0,0,0,0,937730,0,0,0,0,42094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168232,0,0,0,0,0,0,0,0,0,0,1335,688703,1189247,1073,0,0,0,0,0,0,0,0,0,8481926,0,0,0,0,0,0,0,6872,0,0,0,0,0,0,0,0,0,31424625,0,0,0
"38",2011,"Cotton",0,0,0,0,0,0,0,812445,0,0,1725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6031294,0,0,0,0,0,0,0,0,0,0,480966,0,0,0,0,117415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28501,0,8815019,440476,0,0,0,0,0,0,0,0,535021,0,0,0,0,0,0,0,226115,0,0,0,0,0,0,0,0,0,0,0,0,1247890,0,0,0,1465685,2769557,0,0,0,27381,19371,0,5663,0,0,0,0,0,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6951513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6076318,0,0,0,0,271433,0,0,0,19627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491673,0,0,0,0,0,0,0,0,0,0,1348,785998,0,2758,0,0,306844,0,0,0,0,0,3721,13167883,0,0,0,0,0,0,0,34379,0,0,0,0,0,0,0,0,0,52138839,0,0,0
"39",2012,"Cotton",0,0,0,0,0,0,0,1782511,0,0,3300,2402,0,0,0,418,0,0,0,0,0,0,0,0,0,0,1675605,0,0,0,0,0,0,0,0,0,0,223873,0,0,0,0,40768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104745,0,4308933,186941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4507,0,0,0,0,0,0,0,0,0,0,0,0,810786,0,42193,0,1882011,852928,0,0,0,80712,16829,0,15053,0,0,0,0,0,10593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4675424,0,0,0,0,0,0,0,0,0,0,0,3461,0,0,0,0,0,0,0,0,0,0,1673972,0,0,0,0,132511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58576,0,0,0,0,0,0,0,0,0,0,725,603714,0,1451,0,0,60654,0,0,0,0,0,0,11976522,0,0,0,0,0,0,0,198828,0,0,0,0,0,0,0,0,0,31430946,0,0,0
"40",2013,"Cotton",0,0,0,0,0,0,0,1776081,0,0,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69287,0,0,0,0,23142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67182,0,3559177,309806,0,0,0,0,0,0,0,0,24865,0,0,0,0,0,0,0,49826,0,0,0,0,0,0,0,0,0,0,0,0,176260,0,0,0,349997,141968,0,0,0,11930,73015,0,106510,0,0,0,0,0,71863,0,0,47500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3497744,0,0,0,0,0,0,0,0,0,0,0,6198,0,0,5270,26004,0,0,0,0,0,0,2186145,0,0,0,0,111384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262924,10093,0,0,0,0,0,0,0,0,0,0,234834,0,0,0,0,29472,0,0,0,0,0,0,8582968,0,0,0,0,0,0,0,3496,0,0,0,0,0,3507,0,0,0,22025333,0,206406,0
"41",2014,"Cotton",0,0,0,0,0,0,0,936347,0,0,0,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156191,0,0,0,0,0,0,0,0,0,0,58787,0,0,0,0,6160,0,0,539629,0,0,0,0,6977,0,0,0,0,0,0,0,0,0,48675,0,6038497,40500,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,42444,0,0,11208,0,0,0,0,0,0,0,0,0,928844,727,0,0,2260913,517643,0,0,0,8565,66563,0,97077,0,0,0,0,0,129404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3404013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4400,0,0,0,0,0,0,5199737,0,0,0,0,115206,0,0,0,7870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274682,0,0,0,0,0,0,0,0,0,0,0,11574365,0,0,0,0,0,0,0,962,0,0,0,0,0,0,0,0,0,32477291,0,0,0
"42",2015,"Cotton",0,0,0,0,0,0,0,837522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448529,0,0,0,0,0,0,0,0,0,0,60746,0,0,0,0,101518,0,0,106698,0,0,0,0,20137,0,0,0,0,0,0,0,0,0,0,0,2541059,0,0,0,0,0,0,0,0,0,384938,0,0,0,0,0,0,0,24218,0,0,0,0,0,0,12291,0,0,0,0,0,29311,0,0,0,2392665,174402,0,0,0,0,8416,0,15446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2958195,0,0,0,0,0,0,0,0,0,0,0,2049,0,0,0,0,0,0,0,0,0,0,939612,0,0,0,0,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609,483655,0,2724,0,0,5575,0,0,0,0,0,13170,8741535,0,0,0,0,0,0,4275,2422,0,0,0,0,0,0,0,0,0,20313582,0,0,0
"43",2016,"Cotton",0,0,0,0,0,0,0,468952,0,0,0,0,0,0,0,35089,0,0,0,0,0,0,0,0,0,0,9963568,0,0,0,0,0,0,0,0,0,0,67614,0,0,0,0,107330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129170,0,2315796,0,0,0,0,0,0,0,0,0,4290,0,0,0,0,0,0,0,72361,0,0,0,0,0,0,42190,0,0,0,0,0,0,0,0,0,2611085,301043,0,0,0,0,18148,0,30018,0,108531,0,0,0,1725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3990632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2927102,0,0,0,0,1391,0,0,0,0,0,0,130968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2938,0,0,636,0,0,0,0,0,0,0,0,0,347,273974,0,8377,37151,0,885,0,0,0,0,0,59483,7316723,0,0,0,0,0,0,0,1804,0,0,0,0,0,0,0,0,0,31029321,0,0,0
"44",2017,"Cotton",0,0,0,0,0,0,0,22247,0,0,0,0,0,0,0,149515,0,0,0,0,0,0,0,0,0,0,139816,0,0,0,0,0,0,0,0,0,0,35997,0,0,0,0,69456,0,0,19260,0,0,0,0,0,0,0,0,0,0,58225,0,0,0,113415,0,2363749,100326,0,0,0,0,0,0,0,0,5797,0,0,0,0,0,0,0,46543,0,0,0,0,0,0,30360,0,0,0,0,0,74877,455,0,0,3727347,1029654,0,0,0,0,22019,0,14064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420115,0,0,0,0,0,0,7107,0,0,0,0,819,0,0,0,0,0,0,0,0,0,0,2476122,0,0,0,0,9445,1277,0,0,0,0,0,3450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157130,0,0,0,0,0,0,0,0,0,0,0,150956,0,0,0,0,2514,0,0,0,0,0,52470,7787716,0,0,0,0,0,0,0,10052,0,0,0,0,0,0,0,0,0,21102295,0,0,0
"45",1996,"Wheat",0,0,0,0,0,0,0,16160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255385257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255889960,0,0,0
